Gender,Married,Dependents,Education,SelfEmployed,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,CreditHistory,PropertyArea,LoanStatus,TotalIncome,InstalmentAmount,BalancedIncome
1,1,0.0,1,0,5720,0,110.0,360.0,1.0,2,1,5720,305.55555555555554,5414.444444444444
1,1,1.0,1,0,3076,1500,126.0,360.0,1.0,2,1,4576,350.0,4226.0
1,1,2.0,1,0,5000,1800,208.0,360.0,1.0,2,1,6800,577.7777777777778,6222.222222222223
1,1,2.0,1,0,2340,2546,100.0,360.0,1.0,2,1,4886,277.77777777777777,4608.222222222223
1,0,0.0,0,0,3276,0,78.0,360.0,1.0,2,1,3276,216.66666666666666,3059.3333333333335
1,1,0.0,0,1,2165,3422,152.0,360.0,1.0,2,0,5587,422.22222222222223,5164.777777777777
0,0,1.0,0,0,2226,0,59.0,360.0,1.0,1,1,2226,163.88888888888889,2062.1111111111113
1,1,2.0,0,0,3881,0,147.0,360.0,0.0,0,0,3881,408.3333333333333,3472.6666666666665
1,1,2.0,1,0,13633,0,280.0,240.0,1.0,2,1,13633,1166.6666666666667,12466.333333333334
1,0,0.0,0,0,2400,2400,123.0,360.0,1.0,1,1,4800,341.6666666666667,4458.333333333333
1,0,0.0,0,0,3091,0,90.0,360.0,1.0,2,1,3091,250.0,2841.0
1,1,1.0,1,0,2185,1516,162.0,360.0,1.0,1,1,3701,450.0,3251.0
1,0,3.0,1,0,4166,0,40.0,180.0,1.0,2,1,4166,222.22222222222223,3943.777777777778
1,1,2.0,1,0,12173,0,166.0,360.0,0.0,1,0,12173,461.1111111111111,11711.888888888889
0,0,0.0,1,0,4666,0,124.0,360.0,1.0,1,1,4666,344.44444444444446,4321.555555555556
1,0,1.0,1,0,5667,0,131.0,360.0,1.0,2,1,5667,363.8888888888889,5303.111111111111
1,1,2.0,1,0,4583,2916,200.0,360.0,1.0,2,1,7499,555.5555555555555,6943.444444444444
1,1,3.0,1,0,3786,333,126.0,360.0,1.0,1,1,4119,350.0,3769.0
1,1,0.0,1,0,9226,7916,300.0,360.0,1.0,2,1,17142,833.3333333333334,16308.666666666666
1,0,0.0,1,0,1300,3470,100.0,180.0,1.0,1,1,4770,555.5555555555555,4214.444444444444
1,1,1.0,0,0,1888,1620,48.0,360.0,1.0,2,1,3508,133.33333333333334,3374.6666666666665
