Gender,Married,Dependents,Education,SelfEmployed,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,CreditHistory,PropertyArea,LoanStatus,TotalIncome,InstalmentAmount,BalancedIncome
1,1,0.0,1,0,0.0788650057218492,0.0,0.15708812260536398,0.7468354430379747,1.0,1.0,1,0.05595670420664415,0.009658725048293623,0.1967192754380352
1,1,0.3333333333333333,1,0,0.042410621958113306,0.0625,0.18773946360153254,0.7468354430379747,1.0,1.0,1,0.0397914341025025,0.011719253058596262,0.1822798754237254
1,1,0.6666666666666666,1,0,0.06893794206455349,0.075,0.3448275862068965,0.7468354430379747,1.0,1.0,1,0.07121762353572891,0.022279459111397292,0.20653363950909281
1,1,0.6666666666666666,1,0,0.03226295688621104,0.10608333333333334,0.13793103448275862,0.7468354430379747,1.0,1.0,1,0.04417188316918425,0.008370895041854474,0.18692381110521622
1,0,0.0,0,0,0.04516813964069545,0.0,0.09578544061302681,0.7468354430379747,1.0,1.0,1,0.021421808984159726,0.005537669027688342,0.16810507174475633
1,1,0.0,0,1,0.02985012891395166,0.14258333333333334,0.23754789272030646,0.7468354430379747,1.0,1.0,0,0.05407735025222909,0.015067611075338053,0.1936858674507358
0,0,0.3333333333333333,0,0,0.030691171807139213,0.0,0.05938697318007663,0.7468354430379747,1.0,0.5,1,0.0065848040808828695,0.0030907920154539586,0.1559889895524947
1,1,0.6666666666666666,0,0,0.05350963063050642,0.0,0.2279693486590038,0.7468354430379747,0.0,0.0,0,0.029970749904619252,0.014423696072118478,0.17312700219101967
1,1,0.6666666666666666,1,0,0.18796619283321156,0.0,0.48275862068965514,0.4936708860759493,1.0,1.0,1,0.1677711992539106,0.049581455247907275,0.2823985387802379
1,0,0.0,0,0,0.03309021219098567,0.09999999999999999,0.18199233716475094,0.7468354430379747,1.0,0.5,1,0.04295666181520157,0.011332904056664518,0.18510268632779436
1,0,0.0,0,0,0.04261743578430697,0.0,0.11877394636015325,0.7468354430379747,1.0,1.0,1,0.01880767002501095,0.007083065035415324,0.165452358484835
1,1,0.3333333333333333,1,0,0.030125880682209876,0.06316666666666666,0.2567049808429119,0.7468354430379747,1.0,0.5,1,0.027427263349771788,0.0163554410817772,0.17043378949201554
1,0,1.0,1,0,0.05743909332818597,0.0,0.022988505747126436,0.36708860759493667,1.0,1.0,1,0.0339979369497944,0.005795235028976174,0.17885092291471766
1,1,0.6666666666666666,1,0,0.16783631375036193,0.0,0.264367816091954,0.7468354430379747,0.0,0.5,0,0.14714069719792564,0.01687057308435286,0.2732321657345046
0,0,0.0,1,0,0.06433288753464132,0.0,0.1839080459770115,0.7468354430379747,1.0,0.5,1,0.04106317737992624,0.011461687057308434,0.1834408593440981
1,0,0.3333333333333333,1,0,0.07813426353596492,0.0,0.19731800766283525,0.7468354430379747,1.0,1.0,1,0.05520778872105018,0.012363168061815838,0.19536659417267072
1,1,0.6666666666666666,1,0,0.06318851769636973,0.1215,0.3295019157088122,0.7468354430379747,1.0,1.0,1,0.08109482965705322,0.021249195106245972,0.21529636814530118
1,1,1.0,1,0,0.052199809731279904,0.013875,0.18773946360153254,0.7468354430379747,1.0,0.5,1,0.033333804349362006,0.011719253058596262,0.1767274023254778
1,1,0.0,1,0,0.1272042906975141,0.3298333333333333,0.5210727969348659,0.7468354430379747,1.0,1.0,1,0.21735505659257584,0.03412749517063747,0.3290822422109454
1,0,0.0,1,0,0.01792386493678391,0.14458333333333334,0.13793103448275862,0.36708860759493667,1.0,0.5,1,0.04253274738939366,0.021249195106245972,0.18213947736823846
1,1,0.3333333333333333,0,0,0.0260309669235754,0.0675,0.03831417624521073,0.7468354430379747,1.0,1.0,1,0.0247000805437409,0.0016741790083708939,0.17193631868198628
0,0,1.0,0,0,0.028719546664092984,0.0,0.0,0.36708860759493667,1.0,1.0,0,0.004564145317865167,0.002704443013522213,0.15435281221355085
1,0,0.0,1,0,0.05389568310606792,0.0,0.13984674329501917,0.7468354430379747,1.0,1.0,1,0.030366403368706635,0.008499678042498387,0.17501967597748772
0,0,0.0,0,0,0.051910270374608776,0.0,0.18582375478927204,0.7468354430379747,1.0,1.0,1,0.028331614124828666,0.011590470057952346,0.17246011142745674
1,1,0.0,1,0,0.07445297742971776,0.1825,0.5019157088122606,0.7468354430379747,1.0,1.0,1,0.11332645649931467,0.03283966516419832,0.23997267637843217
1,0,0.0,1,0,0.0,1.0,0.22988505747126436,0.7468354430379747,0.0,0.0,0,0.3142618943322641,0.01455247907276239,0.4175357171303178
1,1,0.6666666666666666,1,0,0.060155248245529376,0.05208333333333333,0.21455938697318006,0.7468354430379747,1.0,1.0,1,0.05444474275459594,0.013522215067611074,0.19440675746640912
1,1,0.0,1,0,0.10340691309683024,0.15625,0.4731800766283525,0.7468354430379747,1.0,1.0,1,0.13409826336390226,0.030907920154539595,0.2583391720024678
1,1,0.0,1,0,0.05200678349349915,0.034708333333333334,0.05555555555555555,0.7468354430379747,1.0,0.5,1,0.04020121804745016,0.0028332260141661287,0.18496093829100468
1,0,0.0,1,0,0.04056308511078328,0.09924999999999999,0.18582375478927204,0.36708860759493667,1.0,1.0,1,0.05036103378597973,0.02768834513844172,0.18718300751534592
0,0,0.0,0,0,0.03416564408719271,0.0,0.09003831417624521,0.7468354430379747,1.0,0.5,1,0.010145685257669318,0.005151320025756598,0.15851075462604844
1,1,0.6666666666666666,1,0,0.08617242758069187,0.034166666666666665,0.31417624521072796,0.7468354430379747,1.0,1.0,1,0.07503285336800011,0.020218931101094652,0.21035408659590066
